u_mag,g_mag,r_mag,i_mag,z_mag
20.26397,17.651453,16.306864,15.444097,15.004225
18.193775,16.422014,15.77533,15.543929,15.42579
20.716894,17.91416,16.552603,15.877113,15.453221
19.438398,17.735275,17.095634,16.824423,16.704155
18.149628,17.232107,16.928797,16.70908,16.730839
17.692162,16.68919,16.348701,16.188572,16.164177
18.522827,17.495544,17.096424,16.911596,16.846865
18.494642,17.380037,16.933975,16.71227,16.653442
16.756218,15.665124,15.29286,15.122215,15.083506
16.976913,15.787052,15.367865,15.251755,15.195374
20.538546,17.936438,16.60855,15.995413,15.660309
18.151321,16.765184,16.232735,15.996081,15.896307
17.50827,16.042824,15.472967,15.271878,15.200274
19.44405,17.129522,16.028145,15.637747,15.408233
16.939857,15.919355,15.67676,15.389302,15.381255
18.682243,17.821146,17.521336,17.441656,17.439915
19.620693,17.517475,16.617294,16.3489,16.10681
18.602285,16.72039,15.960022,15.705015,15.60902
18.296576,16.846176,16.302025,16.122318,16.07654
19.071943,16.771639,15.843301,15.540405,15.331182
18.572271,17.256357,16.795172,16.619848,16.53702
19.448744,17.873505,17.22313,16.952906,16.799618
18.81285,17.766268,17.292416,17.114613,17.066301
20.230293,17.786285,16.677221,16.171238,15.937663
16.453638,15.307822,15.11053,15.07311,15.107593
19.096878,17.19474,16.477457,16.193007,16.063025
19.052052,17.989857,17.587479,17.457922,17.373491
17.579819,16.386255,15.989151,15.791472,15.751941
19.246588,17.150223,16.38769,16.054907,15.93093
20.280859,17.887861,16.880018,16.530724,16.344841
17.699902,16.163248,15.567628,15.362674,15.263705
18.070784,16.723652,16.262308,16.113705,16.045652
19.213743,16.805166,15.615973,15.152452,15.000402
20.523579,17.945183,16.50474,15.911994,15.535212
18.87592,17.730797,17.338026,17.2082,17.165031
18.292255,16.692638,16.066048,15.822585,15.749763
17.749344,16.591543,16.111158,15.978729,15.944992
17.91807,16.732683,16.321068,16.192266,16.14886
17.353045,16.233713,15.785282,15.645576,15.613412
20.150995,17.550167,16.273952,15.708549,15.413145
18.54761,17.521584,17.204935,17.041143,17.006283
19.682072,17.857368,17.02558,16.651548,16.495111
17.932283,17.049038,16.718647,16.60541,16.584274
18.764599,17.912157,17.626953,17.537022,17.524672
18.764444,16.817371,16.074654,15.816769,15.706697
18.939571,17.730423,17.26908,17.088726,17.019533
18.731993,16.930805,16.30536,16.05421,15.945951
18.56745,17.113798,16.614273,16.440653,16.269983
18.001501,16.945679,16.613228,16.516718,16.42313
