Title,Director,Cast,Country,"Subgenre/Notes
"
Land of the Lost,Brad Silberling,"['Will Ferrell', 'Anna Friel', 'Danny McBride']",United States,Comedy
Metropia,Tarik Saleh,"['Vincent Gallo', ' (voice), ', 'Juliette Lewis', ' (voice), ', 'Udo Kier', ' (voice)']",Sweden,Animation
Mock-Up on Mu,Craig Baldwin,"['Stoney Burke', 'Jeri Lynn Cohen', 'David Cox', ', Ed Holmes, ', 'Damon Packard']",United States,Comedy
Monsters vs. Aliens,Conrad Vernon,"['Reese Witherspoon', ' (voice), ', 'Hugh Laurie', ' (voice), ', 'Kiefer Sutherland', ' (voice), ', 'Stephen Colbert', ' (voice)']",United States,Animated comedy
Moon,Duncan Jones,"['Sam Rockwell', 'Kevin Spacey']",United Kingdom,Drama
Mr. Nobody,Jaco Van Dormael,"['Jared Leto', 'Diane Kruger', 'Sarah Polley']",Belgium,Fantasy drama
Pandorum,Christian Alvart,"['Dennis Quaid', 'Ben Foster', 'Cam Gigandet']",United States,Action thriller
Planet 51,Jorge Blanco,"['Dwayne Johnson', ' (voice), ', 'Justin Long', ' (voice), ', 'Jessica Biel', ' (voice)']",Spain,Animation
Push,Paul McGuigan,"['Chris Evans', 'Dakota Fanning', 'Camilla Belle', 'Djimon Hounsou']",United States,Action thriller
Race to Witch Mountain,Andy Fickman,"['Dwayne Johnson', 'Carla Gugino', 'AnnaSophia Robb']",United States,Adventure
Redline,Takeshi Koike,"['Takuya Kimura', ' (voice), ', 'Yū Aoi', ' (voice), ', 'Tadanobu Asano', ' (voice)']",Japan,Anime
Robo-geisha,Noboru Iguchi,[],Japan,Action
Screamers: The Hunting,Sheldon Wilson,"['Gina Holden', 'Jana Pallaske', 'Lance Henriksen']",United States,Horror
Space Battleship Yamato: Resurrection,,[],Japan,Anime
Splice,Vincenzo Natali,"['Adrien Brody', 'Sarah Polley', 'David Hewlett']",Canada,Horror
Star Trek,J. J. Abrams,"['Chris Pine', 'Eric Bana', 'Zachary Quinto', 'Zoe Saldana']",United States,Action adventure
Stingray Sam,Cory McAbee,"['Cory McAbee', 'Joshua Taylor']",United States,Musical western comedy
Superman/Batman: Public Enemies,Sam Liu,"['Kevin Conroy', 'Tim Daly', 'Clancy Brown']",United States,Animated superhero film
Surrogates,Jonathan Mostow,"['Bruce Willis', 'Radha Mitchell']",United States,Action
Terminator Salvation,McG,"['Christian Bale', 'Sam Worthington']",United States,Action
Tetsuo: The Bullet Man,Shinya Tsukamoto,"['Eric Bossick', 'Akiko Monō', 'Shinya Tsukamoto']",Japan,Cyberpunk action
The Time Traveler's Wife,Robert Schwentke,"['Eric Bana', 'Rachel McAdams', 'Ron Livingston']",United States,Time travel mystery drama
